SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
04/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
05/12/1985 09:00,,,9,(vco),,,,,,,22.2,(vco),,,,,
06/12/1985 09:00,,,3.6,(vco),,,,,,,5.5,(vco),,,,,
07/12/1985 09:00,,,2.9,(vco),,,,,,,0,(vco),,,,,
08/12/1985 09:00,,,3.2,(vco),,,,,,,10.2,(vco),,,,,
09/12/1985 09:00,,,0.3,(vco),,,,,,,0,(vco),,,,,
10/12/1985 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,
11/12/1985 09:00,,,4.3,(vco),,,,,,,6.6,(vco),,,,,
12/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/12/1985 09:00,,,6.2,(vco),,,,,,,27.5,(vco),,,,,
23/12/1985 09:00,,,4,(vco),,,,,,,5.2,(vco),,,,,
24/12/1985 09:00,,,8.2,(vco),,,,,,,31.9,(vco),,,,,
25/12/1985 09:00,,,13.7,(vco),,,,,,,27.5,(vco),,,,,
26/12/1985 09:00,,,2.3,(vco),,,,,,,11.4,(vco),,,,,
27/12/1985 09:00,,,7.5,(vco),,,,,,,27.5,(vco),,,,,
28/12/1985 09:00,,,3.7,(vco),,,,,,,67.6,(vco),,,,,
29/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/12/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
31/12/1985 09:00,,,1.1,(vco),,,,,,,0,(vco),,,,,
01/01/1986 09:00,,,6.2,(vco),,,,,,,16.7,(vco),,,,,
02/01/1986 09:00,,,6.8,(vco),,,,,,,17.2,(vco),,,,,
03/01/1986 09:00,,,4.7,(vco),,,,,,,19.8,(vco),,,,,
04/01/1986 09:00,,,2.4,(vco),,,,,,,2.6,(vco),,,,,
05/01/1986 09:00,,,5,(vco),,,,,,,4.2,(vco),,,,,
06/01/1986 09:00,,,0,(vco),,,,,,,3.5,(vco),,,,,
07/01/1986 09:00,,,16.5,(vco),,,,,,,14.6,(vco),,,,,
08/01/1986 09:00,,,9.4,(vco),,,,,,,19.8,(vco),,,,,
09/01/1986 09:00,,,1.5,(vco),,,,,,,0,(vco),,,,,
10/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/01/1986 09:00,,,0.2,(vco),,,,,,,0,(vco),,,,,
17/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
27/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
28/01/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/01/1986 09:00,,,5.2,(vco),,,,,,,32.8,(vco),,,,,
30/01/1986 09:00,,,7.5,(vco),,,,,,,19.5,(vco),,,,,
31/01/1986 09:00,,,1.4,(vco),,,,,,,8.9,(vco),,,,,
01/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/02/1986 09:00,,,2.4,(vco),,,,,,,0,(vco),,,,,
04/02/1986 09:00,,,6.4,(vco),,,,,,,4.5,(vco),,,,,
05/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
07/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/02/1986 09:00,,,9.8,(vco),,,,,,,11.9,(vco),,,,,
09/02/1986 09:00,,,0.5,(vco),,,,,,,0,(vco),,,,,
10/02/1986 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/02/1986 09:00,,,2.2,(vco),,,,,,,3.6,(vco),,,,,
